ts_utc,item_id,upgrade_type,upgrade_subtype,from_star,to_star,close_price,lowest_price,highest_price,enhancement_count,timeframe,url
2025-10-24T10:41:17.980740+00:00,1032136,0,,0,1,,0.0,0.0,14847.574417,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:20.215016+00:00,1032136,0,,1,2,19603.37422,0.0,0.0,19603.37422,20m,https://msu.io/navigator/item/1032136?itemUpgrade=1&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:34.386661+00:00,1032136,0,,2,3,,0.0,0.0,23462.829407,20m,https://msu.io/navigator/item/1032136?itemUpgrade=2&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:36.651604+00:00,1032136,0,,3,4,32622.556841,0.0,0.0,32622.556841,20m,https://msu.io/navigator/item/1032136?itemUpgrade=3&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:38.870397+00:00,1032136,0,,4,5,36184.965152,0.0,0.0,36184.965152,20m,https://msu.io/navigator/item/1032136?itemUpgrade=4&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:41.109335+00:00,1032136,0,,5,6,38502.097243,0.0,0.0,38502.097243,20m,https://msu.io/navigator/item/1032136?itemUpgrade=5&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:43.269579+00:00,1032136,0,,6,7,47573.905147,0.0,0.0,47573.905147,20m,https://msu.io/navigator/item/1032136?itemUpgrade=6&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:45.473703+00:00,1032136,0,,7,8,53595.677703,0.0,0.0,53595.677703,20m,https://msu.io/navigator/item/1032136?itemUpgrade=7&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:47.752694+00:00,1032136,0,,8,9,52841.394366,0.0,0.0,52841.394366,20m,https://msu.io/navigator/item/1032136?itemUpgrade=8&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:41:49.997475+00:00,1032136,0,,9,10,66015.074305,0.0,0.0,66015.074305,20m,https://msu.io/navigator/item/1032136?itemUpgrade=9&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:42:04.149948+00:00,1032136,0,,10,11,,71617.821202,71617.821202,1.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=10&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:42:18.316206+00:00,1032136,0,,11,12,,0.0,0.0,132578.522084,20m,https://msu.io/navigator/item/1032136?itemUpgrade=11&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T10:42:33.039968+00:00,1032136,0,,12,13,,0.0,0.0,235177.81048,20m,https://msu.io/navigator/item/1032136?itemUpgrade=12&itemUpgradeSubType=&itemUpgradeType=0
